,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data
407,bMwvBRAxCsh6p7nybHfyGQ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[0, 4]'",'*C*',256,0,180,onlyEEGData
408,ZJXRCDnBC2DLUDjkhaDTa7,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[0, 4]'",'*C*',256,0,180,RobotEEGAux
409,DW96vBkZSTjnVuMNgAQrnP,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[0, 4]'",'*C*',256,0,180,RobotEEG
410,YHn6Vz5QisqYdFTBXnoMh2,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[4, 8]'",'*',256,0,180,onlyEEGData
411,pk6ShHhxa6Fh4VNfNNCrgS,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[4, 8]'",'*',256,0,180,RobotEEGAux
412,XF6NoWSjpv4soiCAWcYU37,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[4, 8]'",'*',256,0,180,RobotEEG
413,mHpCWWFis2g3cYjiriqhn9,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[4, 8]'",'*z',256,0,180,onlyEEGData
414,MA3pcTSz7KxTATheozWrTk,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[4, 8]'",'*z',256,0,180,RobotEEGAux
415,bVp8PABmgjYwQbS9Ssdn5c,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[4, 8]'",'*z',256,0,180,RobotEEG
416,7D3JcdyGYwUYMUcQnBktoE,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[4, 8]'",'*C*',256,0,180,onlyEEGData
417,ArXJzc5Yhr59yse3PF9hm2,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[4, 8]'",'*C*',256,0,180,RobotEEGAux
418,mzwzNoDpCeti4rSrp4Ds2k,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[4, 8]'",'*C*',256,0,180,RobotEEG
419,2sak2hDhGWwbFFy6mT94Va,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[8, 14]'",'*',256,0,180,onlyEEGData
420,5oV6v48c58Akv65dMH2aNP,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[8, 14]'",'*',256,0,180,RobotEEGAux
421,AD7dkCRoZ8UKQ7ZQd35izW,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[8, 14]'",'*',256,0,180,RobotEEG
422,M7CX52u23XPHMVaExGDctG,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[8, 14]'",'*z',256,0,180,onlyEEGData
423,8HgobsxDZh9GatFdvKroEK,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[8, 14]'",'*z',256,0,180,RobotEEGAux
424,CvdSAuxL4gwLcEDHf6NWDA,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[8, 14]'",'*z',256,0,180,RobotEEG
425,NnRJZwnQYBu7e5yF3Bxx3g,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[8, 14]'",'*C*',256,0,180,onlyEEGData
426,Q9NYcYb5VEHqetx3x2Tbue,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[8, 14]'",'*C*',256,0,180,RobotEEGAux
427,goTmevtaSmWnoYftuSVHMA,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[8, 14]'",'*C*',256,0,180,RobotEEG
428,z7hcFyUJKWD76YxASmQAe6,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[14, 20]'",'*',256,0,180,onlyEEGData
429,uhicAgY6oKrH5bTMVtL3Pi,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[14, 20]'",'*',256,0,180,RobotEEGAux
430,dnN9r4pGtaYFcobXme64kW,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[14, 20]'",'*',256,0,180,RobotEEG
431,AyyeQfpFuAu6drXsS9aiY6,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[14, 20]'",'*z',256,0,180,onlyEEGData
432,uLx27fh4pncaiEdhVdhyLA,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[14, 20]'",'*z',256,0,180,RobotEEGAux
433,VWpQASkCB5HZ3n9dFTMW9Z,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[14, 20]'",'*z',256,0,180,RobotEEG
434,h4pA8Pp5NbGjJxtxHbiM5b,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[14, 20]'",'*C*',256,0,180,onlyEEGData
435,qN6EoVppqYPKTRV74R7GKj,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[14, 20]'",'*C*',256,0,180,RobotEEGAux
